Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
National,ssp245 (medium confidence),50,2030,0.097,25,0.0392,1026,546,464,562,2081481,1073008,1008473,136024264,4384,673,13.94,393986,4847077,5700580,25345245,436,167190,284505,1,0,0,166501091,8343237,577,1011,301,763,109,798,27,695,12,1117
National,ssp245 (medium confidence),50,2030,0.097,50,0.0198,1322,816,621,701,3888892,1786811,2102081,170681202,4674,713,18.06,613226,6749300,7003513,25883690,451,205661,322105,1,0,0,203636297,11711291,616,832,436,913,200,792,48,766,22,1371
National,ssp245 (medium confidence),50,2030,0.097,100,0.01,1686,1144,804,882,7131112,3004132,4126980,218748424,4982,758,23.86,901276,8979562,8293748,26606091,464,246048,359377,2,0,0,254693454,16572184,678,699,518,1075,306,616,142,825,42,1767
National,ssp245 (medium confidence),50,2030,0.097,250,0.004,2178,1661,1083,1095,16734446,6785565,9948881,259583499,5453,813,31.93,1464161,12811639,9890232,26843989,473,310241,427817,2,0,2,299666944,28399080,640,764,581,784,437,838,323,645,197,2422
National,ssp245 (medium confidence),50,2040,0.144,1,0.6321,25,2,3,22,1250,1166,84,2227823,1446,291,0.38,1762,53066,274550,3605928,72,977,12202,0,0,0,5899019,278539,25,1446,0,0,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2040,0.144,5,0.1813,571,249,246,325,679060,369691,309369,61641882,3641,587,8.19,149729,2412218,3000183,18897721,377,106611,201917,0,0,0,83153738,3935583,401,933,112,782,33,582,23,696,2,648
National,ssp245 (medium confidence),50,2040,0.144,10,0.0952,788,380,351,437,1128170,601851,526319,100297736,3946,623,10.74,232784,3386434,4184278,23796795,432,132746,250906,1,0,0,127731871,5677978,513,885,189,867,55,720,26,521,5,953
National,ssp245 (medium confidence),50,2040,0.144,25,0.0392,1129,652,518,611,2324320,1171660,1152660,145815826,4527,695,15.73,431281,5786344,5888952,25869252,449,176290,300374,1,0,0,177771796,8820843,641,1145,314,721,134,754,25,728,15,1179
National,ssp245 (medium confidence),50,2040,0.144,50,0.0198,1439,932,686,753,4280323,1929899,2350424,183641363,4822,737,20.0,656960,7500521,7193782,26084611,454,215048,330971,2,0,0,217557466,12346113,681,859,460,1008,216,752,59,743,23,1460
National,ssp245 (medium confidence),50,2040,0.144,100,0.01,1810,1285,873,937,7746285,3235400,4510885,228599267,5107,779,25.97,955328,9969308,8444051,26739235,468,255485,380205,2,0,0,265688014,17401149,743,766,532,986,330,680,160,850,45,1825
National,ssp245 (medium confidence),50,2040,0.144,250,0.004,2342,1783,1170,1172,17937986,7282612,10655374,273048477,5628,835,33.98,1531657,13771057,10033168,26988346,476,320968,454504,3,0,2,314262384,29823779,732,842,602,756,454,889,342,641,212,2500
National,ssp245 (medium confidence),50,2050,0.21,1,0.6321,26,9,3,23,3521,3194,327,2243739,1449,292,0.39,2188,53466,349483,3637908,75,1661,14394,0,0,0,5949506,356853,26,822,0,627,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2050,0.21,5,0.1813,599,320,253,346,798510,430023,368487,63637103,3649,590,8.48,174037,2509668,3259328,19584261,386,116415,210448,0,0,0,85941480,4348291,402,805,128,787,43,663,24,574,2,820
National,ssp245 (medium confidence),50,2050,0.21,10,0.0952,818,485,365,453,1304053,682569,621484,111684812,4008,631,11.3,267030,3643293,4513690,23796795,432,143911,254910,1,0,0,139379809,6228684,506,828,213,865,66,738,27,564,6,1013
National,ssp245 (medium confidence),50,2050,0.21,25,0.0392,1162,778,533,629,2683969,1315786,1368183,148305649,4550,698,16.08,484344,5957424,6152647,25869252,450,189152,304853,1,0,0,180437179,9510112,598,1026,360,777,159,780,25,728,20,1239
National,ssp245 (medium confidence),50,2050,0.21,50,0.0198,1482,1076,711,771,4846722,2137734,2708988,188017289,4829,739,20.47,719049,7682687,7456605,26281096,458,228354,336404,2,0,0,222317477,13250729,647,778,491,973,231,740,88,774,25,1564
National,ssp245 (medium confidence),50,2050,0.21,100,0.01,1834,1419,888,946,8637225,3570990,5066235,230194310,5109,780,26.51,1032084,10176699,8652072,26739235,468,268824,384685,2,0,0,267494929,18590205,672,662,558,907,369,758,177,911,58,1871
National,ssp245 (medium confidence),50,2050,0.21,250,0.004,2377,1915,1188,1189,19676739,8004184,11672555,275496438,5653,841,34.65,1627696,14053156,10232511,26988346,476,336131,456744,3,0,2,316994685,31873077,700,780,603,777,482,787,353,796,239,2513
National,ssp245 (medium confidence),50,2060,0.268,1,0.6321,36,9,4,32,7469,6351,1118,3118330,1471,296,0.5,2639,59258,416992,3837876,80,2425,28690,0,0,0,7044154,429526,35,552,1,919,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2060,0.268,5,0.1813,693,320,307,386,923902,487410,436492,75424318,3806,611,9.71,199321,2965262,3534903,22050622,411,125735,232415,0,0,0,100672617,4783861,465,819,152,866,46,658,24,529,6,934
National,ssp245 (medium confidence),50,2060,0.268,10,0.0952,927,485,414,513,1496506,772853,723652,123621264,4226,655,13.03,303708,4527748,4787225,23799342,433,154120,270255,1,0,0,152218608,6741558,574,951,246,911,73,678,25,594,9,1092
National,ssp245 (medium confidence),50,2060,0.268,25,0.0392,1277,778,600,677,3068229,1462826,1605403,161007196,4690,723,17.75,535716,6732387,6381218,25983933,452,200883,320771,2,0,0,194044286,10186046,648,990,401,900,168,771,38,713,22,1316
National,ssp245 (medium confidence),50,2060,0.268,50,0.0198,1612,1076,771,841,5404731,2345528,3059204,204889291,4979,760,22.55,778355,8584988,7670465,26606091,463,240633,353276,2,0,0,240433646,14094185,712,771,514,1047,252,733,106,762,28,1666
National,ssp245 (medium confidence),50,2060,0.268,100,0.01,1966,1419,963,1003,9521132,3906115,5615017,242363958,5313,803,28.48,1105447,11075178,8824105,26889462,471,280986,406608,2,0,1,280735206,19731670,717,778,593,880,398,810,182,801,76,2044
National,ssp245 (medium confidence),50,2060,0.268,250,0.004,2542,1915,1279,1263,21391205,8726655,12664549,288544608,5805,863,36.76,1718078,14944271,10406876,27366097,486,349797,476713,3,0,2,331331689,33865956,808,809,601,817,489,794,373,775,271,2610
National,ssp245 (medium confidence),50,2070,0.341,1,0.6321,37,15,4,33,12757,10325,2432,3118448,1551,309,0.57,3253,62059,496197,4170215,89,3510,30882,0,0,0,7381603,515717,31,475,6,1076,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2070,0.341,5,0.1813,801,401,358,443,1100631,566870,533760,92250069,3956,632,11.19,233760,3716019,3892375,23498609,430,137943,253860,1,0,0,119718558,5364708,521,838,193,895,55,676,25,556,7,991
National,ssp245 (medium confidence),50,2070,0.341,10,0.0952,1040,565,475,565,1772522,897203,875320,136061636,4441,685,14.63,353233,5377621,5124271,24300573,443,167523,299135,1,0,0,166038964,7417549,610,1074,303,895,87,709,25,580,15,1183
National,ssp245 (medium confidence),50,2070,0.341,25,0.0392,1412,906,670,742,3602995,1661972,1941024,173459767,4808,740,19.43,602163,7515168,6680884,26471433,457,216004,334879,2,0,0,207781247,11102047,707,996,445,872,182,757,53,780,25,1403
National,ssp245 (medium confidence),50,2070,0.341,50,0.0198,1744,1208,842,902,6183442,2632005,3551437,218304680,5156,790,24.93,856836,9595842,7932227,26879705,470,255942,377821,2,0,0,255158048,15228446,754,829,551,1095,280,672,125,745,34,1815
National,ssp245 (medium confidence),50,2070,0.341,100,0.01,2132,1555,1043,1089,10710994,4361446,6349548,255552581,5494,825,30.72,1201376,12070509,9033797,27126242,479,296379,439682,3,0,1,295189015,21242546,783,878,630,809,412,902,215,789,92,2116
National,ssp245 (medium confidence),50,2070,0.341,250,0.004,2737,2039,1398,1339,23706709,9720393,13986316,306473194,5992,890,39.28,1836213,16119632,10629470,27466340,487,366361,493632,3,0,2,350552798,36538752,908,895,621,801,509,809,382,775,317,2712
National,ssp245 (medium confidence),50,2080,0.418,1,0.6321,40,21,4,36,18785,14532,4253,3334852,1580,312,0.65,3993,78998,575609,4554502,97,4971,33074,0,0,0,8001426,603358,31,395,9,1185,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2080,0.418,5,0.1813,900,492,397,503,1312689,660997,651691,119792820,4122,654,12.54,274661,4410080,4282070,23943032,436,151269,274305,1,0,0,148420237,6020688,563,869,236,929,64,694,27,520,10,1110
National,ssp245 (medium confidence),50,2080,0.418,10,0.0952,1141,695,524,617,2106102,1042566,1063536,143394544,4560,706,15.85,410236,5868335,5463614,24342672,446,182219,305998,2,0,0,173911549,8162170,641,1070,344,867,108,735,29,625,19,1263
National,ssp245 (medium confidence),50,2080,0.418,25,0.0392,1511,1036,729,782,4227178,1891118,2336060,185737703,4938,757,21.04,675833,8123739,7008421,26742992,463,232231,347651,2,0,0,220952086,12143663,710,877,493,925,209,870,69,721,30,1545
National,ssp245 (medium confidence),50,2080,0.418,50,0.0198,1870,1340,898,972,7098849,2969541,4129308,229812929,5227,802,26.85,946532,10470694,8199885,27004771,472,271796,392882,2,0,0,267681276,16517061,763,788,594,1023,322,722,148,838,43,1856
National,ssp245 (medium confidence),50,2080,0.418,100,0.01,2255,1697,1117,1138,12086598,4891122,7195477,264795313,5619,845,32.57,1308716,13138043,9249147,27173872,481,312830,451787,3,0,1,305559014,22957292,811,865,647,809,437,988,243,705,117,2252
National,ssp245 (medium confidence),50,2080,0.418,250,0.004,2889,2191,1494,1395,26352335,10882412,15469923,319969390,6058,900,41.42,1967741,17177452,10870187,27646790,490,383377,513172,3,0,2,365306804,39573640,946,842,644,804,531,778,399,815,369,2819
National,ssp245 (medium confidence),50,2090,0.498,1,0.6321,42,21,6,36,25691,18954,6737,3553540,1597,315,0.67,4858,79798,659768,4808566,101,7200,35838,0,0,0,8477742,697518,27,337,15,1260,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2090,0.498,5,0.1813,948,492,428,520,1567332,773635,793697,124502933,4200,663,13.53,324798,4890260,4683395,24001091,439,165250,280549,1,0,0,153674833,6740774,547,858,282,916,77,701,27,536,15,1189
National,ssp245 (medium confidence),50,2090,0.498,10,0.0952,1201,695,551,650,2502463,1211908,1290555,149374152,4618,717,16.79,475497,6374961,5816305,25983933,450,197841,310812,2,0,0,182043858,8992105,636,1059,373,812,134,702,36,713,22,1332
National,ssp245 (medium confidence),50,2090,0.498,25,0.0392,1571,1036,764,807,4937050,2154726,2782324,194312948,5026,774,22.07,758296,8602841,7352258,26861857,466,249040,357374,2,0,0,230135020,13296644,666,814,540,983,252,811,82,753,31,1665
National,ssp245 (medium confidence),50,2090,0.498,50,0.0198,1947,1340,949,998,8155974,3370721,4785253,236809793,5331,812,27.93,1049820,10966036,8468366,27102467,476,287725,408275,2,0,0,275286571,17961885,739,766,618,994,364,769,173,853,53,1949
National,ssp245 (medium confidence),50,2090,0.498,100,0.01,2362,1697,1180,1182,13709427,5515631,8193796,273517893,5715,857,33.91,1428915,13830901,9473777,27366097,485,330393,463892,3,0,2,315178783,24942512,807,845,664,827,476,940,277,707,138,2396
National,ssp245 (medium confidence),50,2090,0.498,250,0.004,2998,2191,1558,1440,29351223,12240673,17110549,329073978,6172,912,43.17,2114625,17915645,11128183,27821573,492,401236,526659,3,0,2,375337854,42995266,959,826,648,817,547,752,411,817,433,2960
National,ssp245 (medium confidence),50,2100,0.582,1,0.6321,48,26,8,40,33385,23828,9557,4022263,1727,330,0.79,5891,106441,751721,5294009,118,11317,38126,0,0,0,9460840,802315,27,386,21,1341,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2100,0.582,5,0.1813,1087,597,497,590,1913424,929379,984045,138586963,4433,693,15.3,384984,5738700,5086917,24342672,446,180544,296610,2,0,0,168964945,7565868,609,954,334,954,91,666,33,576,20,1283
National,ssp245 (medium confidence),50,2100,0.582,10,0.0952,1327,817,626,701,3036781,1423874,1612907,161214310,4767,737,18.82,551587,7286093,6177534,26735339,461,215557,327825,2,0,0,195563567,9981458,656,986,432,844,166,824,44,709,29,1404
National,ssp245 (medium confidence),50,2100,0.582,25,0.0392,1744,1159,840,904,5788912,2471163,3317750,209587064,5218,797,24.55,854056,9637799,7691179,27017600,472,266313,382491,2,0,0,246624955,14600461,721,858,585,1000,294,791,106,766,38,1803
National,ssp245 (medium confidence),50,2100,0.582,50,0.0198,2152,1480,1068,1084,9386628,3844151,5542477,256902773,5498,836,30.62,1168634,12151214,8737625,27168439,479,304472,434248,3,0,0,296656674,19597359,837,830,627,915,423,842,197,825,68,2086
National,ssp245 (medium confidence),50,2100,0.582,100,0.01,2563,1833,1297,1266,15629492,6284351,9345141,289995882,5892,880,37.0,1568038,15352806,9711155,27470123,488,349075,495108,3,0,2,333313919,27257761,894,928,675,719,516,1053,302,672,176,2520
National,ssp245 (medium confidence),50,2100,0.582,250,0.004,3237,2372,1705,1532,32848331,13809156,19039175,346359277,6364,931,46.63,2280159,19789056,11389301,27966917,496,419977,536000,3,0,3,394651251,46937769,1072,916,647,778,574,796,434,822,510,3052
National,ssp245 (medium confidence),50,2110,0.668,1,0.6321,57,35,11,46,44005,30180,13825,4843743,1888,346,1.01,7519,165468,858595,6184552,134,15628,41557,0,0,0,11235320,925747,32,446,25,1397,0,45,0,0,0,0
National,ssp245 (medium confidence),50,2110,0.668,5,0.1813,1207,707,555,652,2329056,1111982,1217074,148803318,4648,722,17.09,453781,6554933,5479646,24884836,453,197866,322964,2,0,0,180566051,8460349,645,1016,379,879,119,787,39,616,25,1350
National,ssp245 (medium confidence),50,2110,0.668,10,0.0952,1476,945,708,768,3690322,1672475,2017847,177073624,4956,766,20.95,637250,8289186,6541165,26980329,468,234149,348604,2,0,0,212691744,11102887,697,1013,493,835,193,897,62,699,31,1512
National,ssp245 (medium confidence),50,2110,0.668,25,0.0392,1939,1302,944,995,6781164,2841503,3939661,234098867,5331,815,27.43,962603,10896362,8004365,27126242,477,283384,409369,3,0,0,272530841,16031516,819,807,603,1127,335,700,142,762,40,1935
National,ssp245 (medium confidence),50,2110,0.668,50,0.0198,2357,1631,1188,1169,10809052,4397747,6411306,273538428,5680,860,33.4,1299143,13375315,9000540,27371183,487,322333,469848,3,0,1,314754775,21431068,924,869,650,797,469,1012,220,753,94,2249
National,ssp245 (medium confidence),50,2110,0.668,100,0.01,2796,1992,1420,1376,17823048,7186590,10636457,308540475,6076,902,40.41,1720029,17008751,9980640,27777378,494,370006,512837,3,0,2,353839440,29893724,992,969,709,732,538,924,344,746,213,2705
National,ssp245 (medium confidence),50,2110,0.668,250,0.004,3472,2567,1844,1628,36724892,15551762,21173130,369394393,6438,947,50.76,2460946,21966300,11809112,49102601,501,438620,563069,3,0,3,441026363,51433570,1152,828,687,783,603,765,463,864,567,3198
National,ssp245 (medium confidence),50,2120,0.748,1,0.6321,81,42,20,61,56420,37707,18713,7981398,2161,380,1.35,9744,221614,966234,6613263,166,19463,61334,0,0,0,14877609,1051861,49,693,32,597,0,871,0,0,0,0
National,ssp245 (medium confidence),50,2120,0.748,5,0.1813,1489,957,707,782,2825084,1314255,1510829,173192955,4983,771,20.91,527943,8376350,5840601,26970615,466,214572,352512,2,0,0,208892432,9408199,831,1247,436,814,148,803,45,663,29,1456
National,ssp245 (medium confidence),50,2120,0.748,10,0.0952,1791,1211,877,914,4406448,1941345,2465103,207763534,5237,803,25.02,727004,10108940,6884211,27096057,474,250808,392641,2,0,0,245361171,12268472,917,1117,538,878,233,878,70,678,33,1686
National,ssp245 (medium confidence),50,2120,0.748,25,0.0392,2332,1583,1171,1161,7862147,3255838,4606309,268274742,5670,863,32.72,1077608,13239886,8277789,27400225,489,299616,462413,3,0,0,309377266,17517159,1092,1063,632,921,389,900,167,771,52,2015
National,ssp245 (medium confidence),50,2120,0.748,50,0.0198,2792,1964,1423,1369,12372637,5011416,7361222,306650778,6040,903,39.89,1433654,16845408,9238622,27966917,496,340409,506544,3,0,2,351969647,23385322,1228,1132,684,736,514,1038,240,740,126,2394
National,ssp245 (medium confidence),50,2120,0.748,100,0.01,3233,2375,1674,1559,20184832,8170949,12013883,345384628,6287,935,46.93,1873998,20182433,10243359,27994028,499,390093,550678,4,0,2,394111766,32692282,1332,1067,688,754,571,875,388,773,254,2818
National,ssp245 (medium confidence),50,2120,0.748,250,0.004,3853,3017,2071,1782,40804884,17404982,23399903,402694859,6606,972,58.13,2645135,26213102,12439089,49104325,502,455769,601720,6,0,4,478614005,56344878,1384,866,757,799,601,776,482,811,629,3354
National,ssp245 (medium confidence),50,2130,0.828,1,0.6321,84,42,21,63,70077,46090,23987,8128839,2187,383,1.48,12412,271695,1078299,6747614,171,23195,74486,0,0,0,15222634,1183982,48,686,33,447,3,1054,0,0,0,0
National,ssp245 (medium confidence),50,2130,0.828,5,0.1813,1524,957,722,802,3384300,1534488,1849812,178675474,5052,779,21.48,608388,8631906,6201626,26980329,468,231407,353942,2,0,0,214641651,10425722,774,1192,480,782,186,870,52,664,32,1544
National,ssp245 (medium confidence),50,2130,0.828,10,0.0952,1864,1211,921,943,5177695,2230245,2947450,215874577,5268,810,25.76,823000,10396514,7231672,27146289,478,266975,395787,3,0,0,253813167,13499342,881,973,567,948,295,894,81,722,40,1731
National,ssp245 (medium confidence),50,2130,0.828,25,0.0392,2395,1583,1201,1194,9029154,3709277,5319877,273544872,5720,868,33.9,1200881,13841730,8544715,27400225,489,316191,470849,3,0,0,315257677,19090941,1053,999,655,954,435,850,175,741,77,2176
National,ssp245 (medium confidence),50,2130,0.828,50,0.0198,2855,1964,1456,1399,14070313,5679787,8390526,312724115,6070,907,40.81,1576306,17304463,9474234,27968806,497,359348,508784,4,0,2,358506168,25480201,1187,1022,697,747,541,1071,275,683,155,2547
National,ssp245 (medium confidence),50,2130,0.828,100,0.01,3300,2375,1712,1588,22724289,9233567,13490721,350800462,6339,942,48.09,2035478,20714841,10508141,27994028,499,410296,553918,4,0,2,400063249,35678203,1259,969,712,787,621,788,406,890,302,2905
National,ssp245 (medium confidence),50,2130,0.828,250,0.004,3908,3017,2104,1804,45153608,19391124,25762484,407521919,6639,975,59.41,2839180,26997063,13203634,49104325,502,472889,607726,6,0,5,484231033,61669311,1277,728,817,859,618,768,507,797,689,3487
National,ssp245 (medium confidence),50,2140,0.906,1,0.6321,85,49,21,64,83565,54364,29201,8256533,2195,385,1.53,15072,287433,1188664,6961505,174,26840,78489,0,0,0,15583960,1314141,48,633,28,393,9,1169,0,0,0,0
National,ssp245 (medium confidence),50,2140,0.906,5,0.1813,1547,1099,733,814,3942740,1753792,2188948,180044692,5089,783,21.79,687479,8762080,6552066,26984112,469,247816,357612,2,0,0,216148496,11430100,699,1054,526,794,223,970,65,662,34,1609
National,ssp245 (medium confidence),50,2140,0.906,10,0.0952,1884,1349,930,954,5941895,2517332,3424563,219761308,5280,813,25.96,917062,10443511,7567672,27146289,478,282710,398551,3,0,0,257749660,14709340,801,805,591,995,341,861,103,783,48,1836
National,ssp245 (medium confidence),50,2140,0.906,25,0.0392,2426,1764,1220,1206,10185951,4159873,6026078,276306107,5771,874,34.26,1321703,14126130,8804168,27500468,490,332467,472517,3,0,0,318405222,20644289,982,876,658,840,486,955,205,857,95,2243
National,ssp245 (medium confidence),50,2140,0.906,50,0.0198,2892,2179,1479,1413,15756764,6345570,9411193,316138799,6086,909,41.44,1716047,17680179,9704431,27968806,497,377917,513550,4,0,2,362301334,27555159,1090,903,717,784,580,995,321,710,184,2694
National,ssp245 (medium confidence),50,2140,0.906,100,0.01,3328,2595,1726,1602,25237760,10289497,14948263,353349161,6349,943,48.57,2193574,20941393,10765784,28093981,500,429920,553918,4,0,2,402938454,38627038,1143,811,756,809,646,819,430,966,353,2944
National,ssp245 (medium confidence),50,2140,0.906,250,0.004,3932,3267,2124,1808,49446248,21357965,28088283,410266445,6639,975,59.79,3029089,27154546,13950514,49104325,502,489573,611158,6,0,5,487136474,66915423,1123,621,884,812,646,823,524,764,755,3619
National,ssp245 (medium confidence),50,2150,0.982,1,0.6321,101,49,25,76,98732,63610,35122,11344482,2297,398,1.93,19569,383457,1311488,7366704,192,30616,99552,0,0,0,19194196,1460406,59,700,28,345,14,1252,0,0,0,0
National,ssp245 (medium confidence),50,2150,0.982,5,0.1813,1736,1099,853,883,4641244,2020983,2620261,199069698,5231,804,24.08,779299,9756664,6876866,27096403,475,263833,377629,2,0,0,236300393,12561242,795,1031,548,862,276,946,77,671,40,1721
National,ssp245 (medium confidence),50,2150,0.982,10,0.0952,2089,1349,1046,1043,6829556,2860313,3969243,238358519,5477,843,28.87,1024877,11659988,7866044,27400225,487,297883,430529,3,0,0,277849261,16018360,905,863,631,1067,369,814,127,727,57,2006
National,ssp245 (medium confidence),50,2150,0.982,25,0.0392,2667,1764,1365,1302,11534825,4698221,6836604,297322747,5919,891,37.73,1454555,15712779,9052394,27794023,494,349800,493152,4,0,1,341322701,22391574,1109,942,675,780,532,1001,241,836,110,2360
National,ssp245 (medium confidence),50,2150,0.982,50,0.0198,3089,2179,1595,1494,17764972,7159396,10605576,335122919,6230,927,45.37,1869779,19739167,9934475,27994028,499,397328,544338,4,0,2,383400452,29966554,1155,902,745,798,613,959,357,794,219,2777
National,ssp245 (medium confidence),50,2150,0.982,100,0.01,3546,2595,1864,1682,28125252,11550755,16574497,370335365,6457,952,52.52,2366753,23131518,11008282,28095705,501,448284,569645,5,0,4,422132234,41948571,1192,771,818,819,673,851,466,933,397,3083
National,ssp245 (medium confidence),50,2150,0.982,250,0.004,4131,3267,2241,1890,54244223,23629246,30614977,429183686,6696,985,63.36,3235563,29293252,14696027,49209138,506,505861,629412,6,0,6,508315488,72681674,1155,558,955,806,650,826,542,733,829,3773
National,ssp585 (medium confidence),50,2020,0.053,1,0.6321,21,0,2,19,0,0,0,2173328,1341,279,0.31,1215,50265,178363,3005710,61,329,7150,0,0,0,5236452,179907,21,1341,0,0,0,0,0,0,0,0
National,ssp585 (medium confidence),50,2020,0.053,5,0.1813,477,195,198,279,533507,293008,240499,50117462,3479,556,7.01,119536,2040279,2671500,16181748,341,93913,190670,0,0,0,68530159,3418455,343,997,85,703,32,543,17,1042,0,194
National,ssp585 (medium confidence),50,2020,0.053,10,0.0952,671,302,293,378,917361,503579,413782,76505925,3771,603,9.47,190233,2915046,3731528,23205275,422,117757,222932,0,0,0,102849178,4956879,450,871,153,805,41,721,25,547,2,827
National,ssp585 (medium confidence),50,2020,0.053,25,0.0392,1021,546,462,559,1900902,994852,906050,133952107,4353,668,13.77,362713,4792835,5526240,25345245,436,158637,283933,1,0,0,164374120,7948492,610,1032,282,770,94,809,26,668,9,1074
National,ssp585 (medium confidence),50,2020,0.053,50,0.0198,1315,816,618,697,3566283,1670385,1895898,170268629,4668,712,17.86,574383,6669723,6824081,25883690,451,196973,321533,1,0,0,203143574,11161721,660,1030,408,772,184,835,42,729,21,1302
National,ssp585 (medium confidence),50,2020,0.053,100,0.01,1667,1144,789,878,6619394,2813627,3805767,217464243,4964,755,23.64,854672,8871336,8148142,26532776,463,237336,354849,2,0,0,253223204,15859543,711,809,501,978,294,697,123,741,38,1739
National,ssp585 (medium confidence),50,2020,0.053,250,0.004,2165,1661,1072,1093,15713157,6375355,9337801,258704553,5448,812,31.71,1405464,12735233,9755311,26786233,472,300667,427817,2,0,2,298653836,27174599,688,859,565,752,431,785,309,728,172,2324
National,ssp585 (medium confidence),50,2030,0.104,1,0.6321,21,2,2,19,114,106,8,2173328,1341,279,0.32,1503,50665,228873,3356090,68,575,9342,0,0,0,5589424,231065,21,1341,0,0,0,0,0,0,0,0
National,ssp585 (medium confidence),50,2030,0.104,5,0.1813,491,249,204,287,609180,333664,275516,50916936,3490,560,7.18,135172,2082267,2844966,16247023,343,100744,191814,0,0,0,69438040,3690062,336,926,99,674,34,580,21,789,1,521
