Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
National,ssp245 (medium confidence),50,2120,0.72,10,0.0952,7120,5664,1592,5528,35671557,12293930,23377627,611653329,9834,2110,139.95,3060625,24353209,8369764,44559622,1561,1021001,1499236,19,0,21,682065396,48122947,2731,3906,1755,2592,1373,2062,735,812,526,462
National,ssp245 (medium confidence),50,2120,0.72,25,0.0392,7888,6300,1763,6125,44160100,15218849,28941250,663107681,10892,2337,153.91,3634601,27400479,9204604,45794660,1697,1112879,1602022,21,0,23,737904843,58112184,2870,4185,1953,2629,1514,2489,883,908,668,680
National,ssp245 (medium confidence),50,2120,0.72,50,0.0198,8578,6850,1917,6661,50737270,17320315,33416955,693517558,11801,2534,164.02,4095590,29438386,9733043,46035416,1781,1182752,1673854,21,0,23,770665214,65748654,3128,4357,2036,2920,1637,2537,979,1184,798,803
National,ssp245 (medium confidence),50,2120,0.72,100,0.01,9316,7467,2105,7211,57980609,19526271,38454339,733875024,12763,2746,175.7,4603980,31689417,10197028,46954830,1894,1255922,1759462,23,0,24,814278733,74037539,3376,4678,2158,2984,1730,2745,1123,1418,929,938
National,ssp245 (medium confidence),50,2120,0.72,250,0.004,10181,8592,2271,7910,68953258,22685290,46267968,763586609,14035,3029,192.64,5381298,35175623,10764605,47064812,2022,1360822,1887135,25,0,24,847714179,86459983,3288,4848,2535,3244,1855,2975,1352,1790,1151,1178
National,ssp245 (medium confidence),50,2130,0.796,1,0.6321,1479,759,325,1154,1543936,470730,1073207,161726378,1423,303,30.8,259573,2751749,1210695,7587801,403,162448,504995,4,0,12,172570923,3176652,971,980,324,334,184,109,0,0,0,0
National,ssp245 (medium confidence),50,2130,0.796,5,0.1813,6973,5135,1562,5411,33811636,11549804,22261832,598678066,9545,2046,137.42,2945788,23889970,8278899,44353098,1544,1001751,1477588,19,0,21,668398723,46038075,2689,3789,1749,2620,1333,1923,705,810,497,404
National,ssp245 (medium confidence),50,2130,0.796,10,0.0952,7543,5664,1679,5864,40628487,13988755,26639732,638984554,10421,2235,148.4,3387740,26280193,8993024,45502966,1658,1074750,1565122,20,0,22,712332835,54084001,2818,4107,1855,2555,1446,2343,819,841,605,575
National,ssp245 (medium confidence),50,2130,0.796,25,0.0392,8346,6300,1854,6492,49972655,17190945,32781711,686602315,11590,2486,162.41,3999506,29329673,9793297,45885862,1769,1168188,1664259,21,0,23,763482110,64933646,3012,4312,1998,2868,1595,2558,967,1066,774,785
National,ssp245 (medium confidence),50,2130,0.796,50,0.0198,9036,6850,2015,7021,57126489,19488685,37637804,727690796,12486,2681,172.87,4481250,31384803,10292895,46347079,1874,1239175,1737567,21,0,23,807160245,73139808,3228,4560,2133,2937,1673,2753,1101,1323,901,914
National,ssp245 (medium confidence),50,2130,0.796,100,0.01,9692,7467,2180,7512,64997188,21884812,43112377,751055647,13448,2894,184.6,5011371,33784864,10741561,47152820,1971,1313035,1830063,25,0,24,833823395,82063155,3301,4915,2324,2981,1770,2895,1243,1610,1054,1047
National,ssp245 (medium confidence),50,2130,0.796,250,0.004,10584,8592,2354,8230,76894842,25304386,51590457,782362358,14727,3179,201.85,5828956,37350996,11296583,47404639,2094,1421612,1956915,27,0,25,869074908,95441994,3204,4942,2687,3528,1952,2886,1429,2029,1312,1342
National,ssp245 (medium confidence),50,2140,0.872,1,0.6321,1505,759,335,1170,1824373,556048,1268325,164367499,1454,310,31.22,301401,2800540,1323412,7597950,409,192301,508931,4,0,12,175274920,3641487,927,945,361,376,217,133,0,0,0,0
National,ssp245 (medium confidence),50,2140,0.872,5,0.1813,7014,5135,1567,5447,38095624,13025642,25069982,604334376,9595,2057,138.31,3241626,24149123,8900051,44396299,1550,1055354,1488412,19,0,21,674368210,51292655,2439,3441,1823,2595,1402,2229,783,826,567,504
National,ssp245 (medium confidence),50,2140,0.872,10,0.0952,7588,5664,1693,5895,45585417,15683579,29901838,642449417,10487,2249,149.37,3712638,26487287,9614514,45507670,1664,1128468,1572994,20,0,22,716017368,60041036,2530,3682,1923,2615,1526,2575,907,951,702,664
National,ssp245 (medium confidence),50,2140,0.872,25,0.0392,8406,6300,1870,6536,55785210,19163040,36622171,690608369,11650,2499,163.46,4362426,29555193,10382971,46094195,1776,1223469,1673607,21,0,23,767931365,71754076,2716,3891,2084,2906,1636,2617,1092,1351,878,886
National,ssp245 (medium confidence),50,2140,0.872,50,0.0198,9096,6850,2032,7064,63515708,21657055,41858653,730783865,12607,2707,173.93,4864780,31630255,10852195,46349373,1881,1295569,1748391,22,0,23,810511884,80528252,2912,4229,2224,2987,1733,2773,1195,1598,1032,1020
National,ssp245 (medium confidence),50,2140,0.872,100,0.01,9745,7467,2188,7557,72013768,24243353,47770415,753745631,13557,2918,185.82,5416270,34007843,11285606,47155256,1979,1370113,1838427,25,0,24,836747158,90085756,2953,4445,2419,3178,1830,2852,1333,1830,1210,1251
National,ssp245 (medium confidence),50,2140,0.872,250,0.004,10622,8592,2360,8262,84836427,27923482,56912945,784249137,14776,3190,202.92,6274074,37610621,11827896,47425591,2105,1482370,1962819,27,0,25,871248168,104420767,2738,4339,2841,3735,2013,2880,1564,2296,1466,1527
National,ssp245 (medium confidence),50,2150,0.946,1,0.6321,1725,923,402,1323,2156518,660233,1496284,182543999,1744,372,35.52,349543,3435000,1443140,8580344,447,225321,561083,4,0,12,195120426,4174521,1033,1125,424,458,268,162,0,0,0,0
National,ssp245 (medium confidence),50,2150,0.946,5,0.1813,7491,5619,1661,5830,42837250,14644568,28192682,633465774,10461,2243,147.89,3554045,26161605,9493984,45293670,1652,1107489,1556019,20,0,22,706477068,56992768,2587,3904,1893,2539,1489,2498,857,909,665,612
National,ssp245 (medium confidence),50,2150,0.946,10,0.0952,8066,6117,1796,6270,50987893,17519957,33467936,675321721,11255,2413,159.57,4055160,28883316,10188560,45978309,1757,1181508,1646055,20,0,23,751829400,66413120,2632,3956,2027,2779,1602,2628,1003,1105,802,787
National,ssp245 (medium confidence),50,2150,0.946,25,0.0392,8929,6826,1983,6946,62030344,21290230,40740114,729858783,12503,2682,172.98,4736320,31728849,10918838,46305023,1875,1279005,1741461,22,0,23,809634117,78964507,2873,4322,2183,2940,1708,2698,1160,1552,1005,991
National,ssp245 (medium confidence),50,2150,0.946,50,0.0198,9614,7370,2155,7459,70379823,23970894,46408930,755041920,13395,2879,184.73,5259796,34081633,11367111,47140542,1967,1351960,1822107,24,0,24,838086202,88358690,3021,4486,2342,3178,1776,2749,1312,1811,1163,1171
National,ssp245 (medium confidence),50,2150,0.946,100,0.01,10234,8093,2294,7940,79544030,26755607,52788422,777955861,14249,3068,196.09,5834724,36496620,11789220,47300693,2057,1427194,1912143,25,0,24,863665317,98595167,3048,4566,2483,3368,1918,2812,1436,2121,1349,1381
National,ssp245 (medium confidence),50,2150,0.946,250,0.004,11111,9109,2451,8660,93251358,30674613,62576745,809664925,15588,3366,213.3,6733802,40038373,12322961,47535186,2157,1542966,2033625,27,0,25,899272109,113851087,2801,4493,2891,3904,2089,2826,1692,2589,1638,1776
